;; A mapping for multi-word expressions that correspond to Amenities in Hotels
;; It follows the pattern of the WN->SUMO mappings
;; An explanation of synsets data format is in http://wordnet.princeton.edu/man/wndb.5WN.html. 
;; A record is of the form:
;; synset_offset  lex_filenum  ss_type  w_cnt  word  lex_id  [word  lex_id...]  p_cnt  [ptr...]  [frames...]  |   gloss &%SUMOconcept symbol(+,=) 
;; examples:
;; 00001740 03 n 01 entity 0 003 ~ 00001930 n 0000 ~ 00002137 n 0000 ~ 04424418 n 0000 | that which is perceived or known or inferred to have its own distinct existence (living or nonliving) &%Entity=
;; 04371430 06 n 02 swimming_trunks 0 bathing_trunks 0 002 @ 04371563 n 0000 ;u 06295235 n 0000 | swimsuit worn by men while swimming &%Clothing+
;; we also list the amenities that are already part of the WN->SUMO mapping to check them
;; Preliminary version Oct 20, 2011  Valeria de Paiva (lexicographer 99)  
;; This work is released under the GNU Public License http://www.gnu.org/copyleft/gpl.html>. 
;; Content repeated from WordNet is governed by the WordNet license 

03761084 06 n 02 microwave 0 microwave_oven 0 002 @ 03620052 n 0000 + 00321936 v 0101 | kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food &%Microwave=
03777754 06 n 01 modem 0 002 @ 03278248 n 0000 ~ 02676670 n 0000 | (from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line &%Modem=
06613686 10 n 0a movie 0 film 1 picture 2 moving_picture 0 moving-picture_show 0 motion_picture 0 motion-picture_show 0 picture_show 0 pic 0 flick 0 032 @ 06619065 n 0000 @ 04007894 n 0000 + 01711965 v 0201 + 01002740 v 0201 %p 04173172 n 0000 %p 06346681 n 0000 %p 06347588 n 0000 %p 06489968 n 0000 ~ 06614628 n 0000 %p 06614729 n 0000 ~ 06615026 n 0000 ~ 06615216 n 0000 ~ 06615458 n 0000 ~ 06615818 n 0000 ~ 06615927 n 0000 ~ 06616216 n 0000 ~ 06616314 n 0000 ~ 06616806 n 0000 ~ 06617011 n 0000 ~ 06617165 n 0000 ~ 06617413 n 0000 ~ 06617644 n 0000 ~ 06617752 n 0000 ~ 06617866 n 0000 ~ 06618822 n 0000 ~ 06618937 n 0000 ~ 07019172 n 0000 -c 00960562 v 0000 -c 00960734 v 0000 -c 01002740 v 0000 -c 01003049 v 0000 -c 01003741 v 0000 | a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement; "they went to a movie every Saturday night"; "the film was shot on location" &%MotionPicture+
15300371 99 n 02 murphy_bed 0 pull_down_bed 0 000 | a pull-down bed is a type of bed that can be stored vertically inside a wall, closet or cabinet &%MurphyBed=
15300381 99 n 02 newspaper_delivery_service 0 newspaper_delivery 0 000 | delivery of newspapers to houses or to rooms in hotels, hospitals, retirement homes, etc. &%NewspaperDeliveryService=
15300391 99 n 03 outlet_adapter 0 plug_adapter 0 outlet_plug 0 000 | a device that has holes on one side and on another side has metal prongs so that an electrical plug can fit into an electrical outlet &%OutletAdapter=
15300401 99 n 02 queen_bed 0 queen_sized_bed  0 000 |  a type of bed that is bigger than a double bed and smaller than and a king-sized be &%QueenBed=
04043733 06 n 06 radio_receiver 0 receiving_set 0 radio_set 0 radio 1 tuner 0 wireless 1 011 @ 04060647 n 0000 #p 04041544 n 0000 #p 04043411 n 0000 + 01007495 v 0401 %p 02705944 n 0000 ~ 03046921 n 0000 ~ 03144156 n 0000 %p 03181293 n 0000 %p 03181501 n 0000 ~ 03516996 n 0000 ~ 04027367 n 0000 | an electronic receiver that detects and demodulates and amplifies transmitted signals &%RadioReceiver+
04062428 06 n 03 recliner 0 reclining_chair 0 lounger 0 003 @ 02738535 n 0000 + 01528339 v 0301 + 01547641 v 0101 | an armchair whose back can be lowered and foot can be raised to allow the sitter to recline in it &%Recliner=
04070545 06 n 01 refrigeration_system 0 003 @ 03102859 n 0000 #p 04070727 n 0000 #p 04070964 n 0000 | a cooling system for chilling or freezing (usually for preservative purposes) &%Refrigerator=
15300411 99 n 03 rollaway_bed 0 z_bed 0 camp_bed 0 000 | a small bed that folds up for storage or transport &%RollawayBed=
15300421 99 n 01 room_service 0 000 | meals delivered at a hotel room &%RoomService=
15300431 99 n 03 room_cleaning_service 0 room_janitorial_service 0 cleaning_service 0 000 |  refers to a maid cleaning an area such as a room or house &%RoomCleaningService=
03508101 06 n 02 heater 0 warmer 0 016 @ 03183080 n 0000 + 00372958 v 0201 + 02333358 v 0101 + 00371264 v 0101 ~ 02893418 n 0000 ~ 03099147 n 0000 ~ 03172211 n 0000 ~ 03174605 n 0000 ~ 03423479 n 0000 ~ 03508881 n 0000 ~ 03843883 n 0000 ~ 04041069 n 0000 ~ 04258333 n 0000 ~ 04265275 n 0000 ~ 04330267 n 0000 ~ 04560113 n 0000 | device that heats water or supplies warmth to a room &%RoomHeater+
04125021 06 n 01 safe 0 001 @ 04340750 n 0000 | strongbox where valuables can be safely kept &%SafeContainer=
15300441 99 n 03 satellite_tv_set 0 satellite_television 0 satellite_tv 0 000 |  a television set which receives  satellite television broadcasts &%SatelliteTVSet=
04208936 06 n 01 shower 0 004 @ 03969259 n 0000 #p 04209613 n 0000 + 00035259 v 0101 %p 04209383 n 0000 | a plumbing fixture that sprays water over you; "they installed a shower in the bathroom" &%Shower=
04222210 06 n 01 single_bed 0 002 @ 02818832 n 0000 ~ 03540914 n 0000 | a bed for one occupant &%SingleBed=
15300451 99 n 03 smoke_detector 0 smoke_alarm 0 fire_alarm 0 000 | an alarm that is tripped off by fire or smoke &%SmokeDetector=
03100346 06 n 02 convertible 1 sofa_bed 0 003 @ 04256520 n 0000 ~ 03164605 n 0000 ~ 04344873 n 0000 | a sofa that can be converted into a bed &%Sofa+ &%SofaBed=
04270371 06 n 01 speakerphone 0 001 @ 04401088 n 0000 | a telephone with a microphone and loudspeaker; can be used without picking up a handset; several people can participate in a call at the same time &%Telephone+
15300461 99 n 01 TDD_phone 0 000 |  a telephone  designed so that deaf (or hearing impaired) people can use it, TDD stands for Telecommunications Device for the Deaf &%TDDPhone=
15300471 99 n 03 temperature_control 0 temperature_controller 0 temperature_thermostat 0 000 | a type of controller that is used to set the ideal air temperature in the room &%TemperatureControl=
04401088 06 n 03 telephone 0 phone 0 telephone_set 0 013 @ 03278248 n 0000 #p 04402746 n 0000 + 00789448 v 0204 + 00789448 v 0102 ~ 03179910 n 0000 ~ 03187595 n 0000 ~ 03306869 n 0000 ~ 03488438 n 0000 %p 03795123 n 0000 ~ 03902125 n 0000 ~ 04044498 n 0000 ~ 04270371 n 0000 %p 04402580 n 0000 | electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds; "I talked to him on the telephone" &%Telephone=
15300471 99 n 02 telephone_communication 0 telephone_call 0 000 | a communication that is done through the use of the telephone system &%TelephoneCommunication=
04404200 06 n 05 teletypewriter 0 teleprinter 0 teletype_machine 0 telex 0 telex_machine 0 002 @ 03007591 n 0000 + 00790965 v 0401 | a character printer connected to a telegraph that operates like a typewriter &%Telex=
04405907 06 n 09 television_receiver 0 television 1 television_set 0 tv 0 tv_set 0 idiot_box 0 boob_tube 0 telly 0 goggle_box 0 004 @ 04060647 n 0000 #p 04404412 n 0000 ;c 06277280 n 0000 %p 03617594 n 0000 | an electronic device that receives television signals and displays them on a screen; "the British call a tv set a telly" &%TelevisionReceiver+
04446276 06 n 07 toilet 0 lavatory 0 lav 0 can 2 john 0 privy 1 bathroom 1 006 @ 04105893 n 0000 ~ 03501520 n 0000 ~ 04018667 n 0000 %p 04446521 n 0000 ~ 04555291 n 0000 ~ 04558478 n 0000 | a room or building equipped with one or more toilets &%Bathroom+
15300481 99 n 01 turn_down_service 0 000 | a service wherein a bed is prepared for sleeping by folding the bed linen &%TurndownService=
15300491 99 n 03 tv_remote_control 0 tv_remote 0 remote_control 0 000 | a device that can be used to control a television from a distance; "he lost the remote for his TV" &%TVRemoteControl=
03691817 06 n 03 lounge 0 waiting_room 0 waiting_area 0 003 @ 04105893 n 0000 ~ 03045928 n 0000 ~ 03177059 n 0000 | a room (as in a hotel or airport) with seating where people can wait &%SittingArea+
15300501 99 n 03 wake_up_service 0 wake_up_call 0 000 | some action (like a phone call or knocking on the door) to wake up a person &%WakeUpService=
04557522 06 n 01 water_bed 0 001 @ 02818832 n 0000 | a bed with a mattress made of strong plastic that is filled with water &%WaterBed=
04573513 06 n 01 wet_bar 0 001 @ 02789487 n 0000 | a bar for mixing drinks that has a sink with running water &%WetBar=
